Emp_ID,Full_Name,Gender,DOB,Age,Nationality,Ethnicity,Job_Title,Department,Job_Level,Hire_Date,Status,Emp_Type,Tenure (Years),Salary_Band,Salary,Job_Rating,Location,Days_Absent,Sick_Days,Annual_Leave
1536,Obdulia Salter,M,23/6/1999,21,British,Black,Sales Clerk,Sales,Non-Manager,23/6/2019,Active,Full Time,1,B,"$40,000.00",1,Canada,8,8,0
1538,Sachiko Holiday,F,7/3/2000,21,Indian,Asian,Finance Manager,Finance,Manager,7/3/2020,Active,Full Time,1,A,"$30,000.00",1,UK,13,8,5
1546,Coy Worthington,M,3/3/2000,21,Brazilian,Hispanic/Latin,HR Administrator,HR,Non-Manager,3/3/2020,Active,Full Time,1,D,"$60,000.00",4,France,7,7,0
1591,Lane Fusco,M,12/10/1999,21,Irish,Black,Sales Manager,Sales,Manager,12/10/2019,Active,Full Time,1,A,"$30,000.00",1,South African,4,4,0
1598,Florance Trice,F,7/9/1999,21,Japanese,Asian,Developer,IT,Non-Manager,7/9/2019,Active,Full Time,1,B,"$40,000.00",2,South African,2,2,0
447,Diane Ramirez,F,14/9/2001,19,American,White,IT Analyst,IT,Non-Manager,14/9/2018,Active,Other,2,D,"$60,000.00",4,South African,12,7,5
17,Diane Allen,F,28/1/2001,20,Indian,Asian,Marketing Manager,Marketing,Manager,28/1/2019,Terminated,Other,2,D,"$60,000.00",4,UK,6,6,0
33,Alan Miller,M,18/3/1999,22,French,White,Sales Assistant,Sales,Non-Manager,18/3/2019,Resigned,Other,2,A,"$30,000.00",2,Germany,9,4,5
52,Johnny Richardson,M,2/9/1998,22,South African,White,Finance Manager,Finance,Manager,2/9/2018,Retired,Other,2,B,"$40,000.00",2,France,6,6,0
81,Kathy Barnes,F,28/6/1998,22,German,White,Security Officer,IT,Non-Manager,28/6/2018,Terminated,Other,2,C,"$50,000.00",5,USA,6,6,0
113,Kimberly Bailey,F,30/12/1998,22,Indian,Asian,Sales Assistant,Sales,Non-Manager,30/12/2018,Terminated,Other,2,D,"$60,000.00",1,France,10,4,6
159,Andrew Henderson,M,7/10/1998,22,Brazilian,Hispanic/Latin,Procurement and Planning,Planning,Non-Manager,7/10/2018,Active,Part Time,2,D,"$60,000.00",2,France,8,8,0
201,Edward Harris,M,1/2/1999,22,Canadian,White,Marketing Manager,Marketing,Manager,1/2/2019,Resigned,Other,2,A,"$30,000.00",3,Canada,4,4,0
251,Sharon Bryant,F,11/3/1999,22,Iranian,Persian,Recruitment Manager,HR,Manager,11/3/2019,Active,Part Time,2,D,"$60,000.00",3,Canada,3,3,0
360,Melissa Parker,F,14/1/1999,22,Nigerian,Black,HR Administrator,HR,Non-Manager,14/1/2019,Active,Part Time,2,B,"$40,000.00",3,Canada,3,3,0
382,Carol Carter,F,24/2/1999,22,French,White,Marketing Assistant,Marketing,Manager,24/2/2019,Retired,Other,2,D,"$60,000.00",2,UK,7,7,0
412,Raymond Long,M,15/11/1998,22,South African,White,HR Administrator,HR,Non-Manager,15/11/2018,Active,Part Time,2,D,"$60,000.00",3,Germany,4,4,0
484,Diana Coleman,F,26/6/1998,22,French,White,Brand Manager,Marketing,Manager,26/6/2018,Active,Other,2,B,"$40,000.00",3,Canada,11,6,5
545,Alison Craig,F,15/3/1999,22,Nigerian,Black,Recruitment Manager,HR,Manager,15/3/2019,Active,Part Time,2,A,"$30,000.00",3,UK,5,5,0
563,Sandy Price,F,19/12/1998,22,Australian,White,Payroll,Finance,Non-Manager,19/12/2018,Active,Part Time,2,A,"$30,000.00",2,Australia,8,8,0
577,Krystal Manning,F,13/12/1998,22,French,White,Sales Clerk,Sales,Non-Manager,13/12/2018,Retired,Other,2,B,"$40,000.00",1,South African,5,5,0
594,Aaron Hunter,M,18/4/1999,22,British,White,Payroll,Finance,Non-Manager,18/4/2019,Active,Part Time,2,A,"$30,000.00",4,UK,6,6,0
598,Ethel Douglas,F,15/1/1999,22,Portugese,White,Security Officer,IT,Non-Manager,15/1/2019,Retired,Other,2,A,"$30,000.00",3,USA,1,1,0
612,Nick Kim,M,23/7/1998,22,Iranian,Persian,Sales Assistant,Sales,Non-Manager,23/7/2018,Active,Part Time,2,C,"$50,000.00",3,Australia,15,4,11
694,Bobbie Wilkins,M,20/9/1998,22,Japanese,Asian,HR Assistant,HR,Non-Manager,20/9/2018,Active,Part Time,2,D,"$60,000.00",3,Australia,14,4,10
829,Teresa Sullivan,F,8/7/1998,22,Pakistani,Asian,Procurement and Planning,Planning,Non-Manager,8/7/2018,Active,Full Time,2,A,"$30,000.00",3,South African,12,7,5
938,Felix Neal,M,29/10/1998,22,American,White,Administrator,Admin,Non-Manager,29/10/2018,Active,Full Time,2,C,"$50,000.00",2,France,12,7,5
969,Kerry Schneider,F,27/10/1998,22,French,White,Administrator,Admin,Non-Manager,27/10/2018,Active,Full Time,2,B,"$40,000.00",1,Canada,4,4,0
1018,Angelina Todd,M,23/12/1998,22,French,White,Recruitment Manager,HR,Manager,23/12/2018,Active,Full Time,2,A,"$30,000.00",1,France,4,4,0
1023,Leigh Daniel,F,10/1/1999,22,Indian,Asian,Marketing Assistant,Marketing,Manager,10/1/2019,Active,Full Time,2,D,"$60,000.00",4,South African,7,7,0
1066,Molly Johnson,F,17/12/1998,22,French,White,PA ,Admin,Non-Manager,17/12/2018,Active,Full Time,2,D,"$60,000.00",4,Canada,4,4,0
1112,Ora Bass,M,16/7/1998,22,Iranian,Persian,Administrator,Admin,Non-Manager,16/7/2018,Retired,Other,2,B,"$40,000.00",4,France,10,4,6
1152,Nichole Watson,M,2/10/1998,22,Iranian,Persian,Finance Manager,Finance,Manager,2/10/2018,Active,Full Time,2,A,"$30,000.00",3,Canada,12,7,5
1256,Francis Walton,M,30/9/1998,22,Brazilian,Hispanic/Latin,IT Analyst,IT,Non-Manager,30/9/2018,Retired,Other,2,C,"$50,000.00",1,Canada,8,8,0
1444,Chanda Menendez,F,22/3/1999,22,South African,Black,Marketing Manager,Marketing,Manager,22/3/2019,Active,Full Time,2,C,"$50,000.00",4,France,4,4,0
1458,Shanta Mcpherson,F,9/2/1999,22,French,Black,Marketing Manager,Marketing,Manager,9/2/2019,Active,Full Time,2,C,"$50,000.00",1,Canada,7,7,0
1465,Francesca Stiles,F,3/7/1998,22,Iranian,Persian,Administrator,Admin,Non-Manager,3/7/2018,Active,Full Time,2,D,"$60,000.00",3,Australia,4,4,0
1482,Seymour Abraham,M,8/9/1998,22,Portugese,Black,Payroll,Finance,Non-Manager,8/9/2018,Retired,Other,2,A,"$30,000.00",1,UK,3,3,0
1543,Fidel Jolly,M,3/2/1999,22,Brazilian,Hispanic/Latin,Administrator,Admin,Non-Manager,3/2/2019,Active,Full Time,2,B,"$40,000.00",3,South African,15,4,11
1,Tina Murphy,F,17/12/1997,23,Australian,White,Procurement and Planning,Planning,Non-Manager,17/12/2017,Resigned,Other,3,C,"$50,000.00",2,USA,13,8,5
104,Nancy Watson,F,16/9/1997,23,Chinese,Asian,Recruitment Manager,HR,Manager,16/9/2017,Active,Part Time,3,D,"$60,000.00",1,Australia,3,3,0
122,Russell Rodriguez,M,29/11/1997,23,Mexican,Hispanic/Latin,IT Analyst,IT,Non-Manager,29/11/2017,Resigned,Other,3,D,"$60,000.00",2,UK,3,3,0
147,Norma Baker,F,2/11/1997,23,Indian,Asian,HR Manager,HR,Manager,2/11/2017,Retired,Other,3,D,"$60,000.00",5,France,3,3,0
194,Fred Mitchell,M,11/4/1998,23,Cuban,Hispanic/Latin,Security Officer,IT,Non-Manager,11/4/2018,Retired,Other,3,B,"$40,000.00",3,Australia,14,4,10
240,Ruth Alexander,F,25/12/1997,23,Indian,Asian,Security Officer,IT,Non-Manager,25/12/2017,Active,Part Time,3,B,"$40,000.00",4,Germany,7,7,0
255,Robert Morris,M,25/11/1997,23,Mexican,Hispanic/Latin,HR Assistant,HR,Non-Manager,25/11/2017,Retired,Other,3,C,"$50,000.00",2,Australia,15,4,11
271,Richard Hernandez,M,8/11/1997,23,Portugese,White,Procurement and Planning,Planning,Non-Manager,8/11/2017,Active,Part Time,3,A,"$30,000.00",3,USA,0,0,0
301,Ruth Davis,F,19/12/1997,23,British,White,Administrator,Admin,Non-Manager,19/12/2017,Resigned,Other,3,D,"$60,000.00",2,Germany,5,5,0
341,Jeffrey Clark,M,2/2/1998,23,French,White,Recruitment Manager,HR,Manager,2/2/2018,Active,Part Time,3,A,"$30,000.00",3,Germany,1,1,0
354,Julie Henderson,F,26/7/1997,23,Australian,White,Credit Controller,Finance,Non-Manager,26/7/2017,Retired,Other,3,B,"$40,000.00",4,Canada,7,7,0
363,Stephanie Diaz,F,30/8/1997,23,Australian,White,Recruitment Manager,HR,Manager,30/8/2017,Active,Part Time,3,D,"$60,000.00",4,South African,14,4,10
372,David Garcia,M,7/4/1998,23,South African,White,HR Manager,HR,Manager,7/4/2018,Active,Part Time,3,B,"$40,000.00",2,Germany,8,8,0
375,Joseph Bennett,M,9/4/1998,23,Australian,White,Marketing Assistant,Marketing,Manager,9/4/2018,Active,Part Time,3,D,"$60,000.00",4,Germany,0,0,0
391,Helen Sanchez,F,11/10/1997,23,Iranian,Persian,Payroll,Finance,Non-Manager,11/10/2017,Active,Part Time,3,D,"$60,000.00",2,Canada,13,8,5
448,Keith James,M,26/11/1997,23,Irish,White,Developer,IT,Non-Manager,26/11/2017,Active,Part Time,3,A,"$30,000.00",3,Canada,3,3,0
547,Tabitha Mendez,F,5/1/1998,23,Japanese,Asian,Administrator,Admin,Non-Manager,5/1/2018,Active,Part Time,3,C,"$50,000.00",3,Canada,5,5,0
626,Molly Murray,F,30/7/1997,23,American,White,Sales Assistant,Sales,Non-Manager,30/7/2017,Active,Part Time,3,C,"$50,000.00",3,Germany,12,7,5
635,Danny Peters,M,13/7/1997,23,Cuban,Hispanic/Latin,Recruitment Manager,HR,Manager,13/7/2017,Retired,Other,3,B,"$40,000.00",2,USA,14,4,10
680,Virginia Holt,F,18/3/1998,23,South African,White,Payroll,Finance,Non-Manager,18/3/2018,Active,Part Time,3,A,"$30,000.00",2,USA,8,8,0
696,Herman Sanders,M,28/11/1997,23,German,White,Sales Clerk,Sales,Non-Manager,28/11/2017,Active,Part Time,3,A,"$30,000.00",3,USA,6,6,0
719,Roland Stevenson,M,7/10/1997,23,Indian,Asian,Sales Clerk,Sales,Non-Manager,7/10/2017,Active,Full Time,3,D,"$60,000.00",4,USA,1,1,0
762,Erika Delgado,F,22/9/1997,23,South African,White,IT Analyst,IT,Non-Manager,22/9/2017,Active,Full Time,3,D,"$60,000.00",2,UK,13,8,5
819,Jeannie Roberts,F,2/8/1997,23,Indian,Asian,Credit Controller,Finance,Non-Manager,2/8/2017,Active,Full Time,3,D,"$60,000.00",3,France,7,7,0
862,Jo Cunningham,M,21/6/1997,23,French,White,HR Manager,HR,Manager,21/6/2017,Retired,Other,3,B,"$40,000.00",4,Canada,0,0,0
897,Byron Young,M,17/2/1998,23,Japanese,Asian,Finance Manager,Finance,Manager,17/2/2018,Active,Full Time,3,B,"$40,000.00",3,Germany,14,4,10
926,Ismael Clayton,M,5/6/1997,23,French,White,Developer,IT,Non-Manager,5/6/2017,Active,Full Time,3,A,"$30,000.00",3,France,4,4,0
997,Della Fox,F,8/11/1997,23,German,White,Procurement and Planning,Planning,Non-Manager,8/11/2017,Active,Full Time,3,D,"$60,000.00",3,USA,13,8,5
1012,Shelley Powers,F,5/12/1997,23,British,White,HR Manager,HR,Manager,5/12/2017,Active,Full Time,3,C,"$50,000.00",3,Germany,10,4,6
1049,Willie Schneider,M,25/10/1997,23,Canadian,White,Sales Clerk,Sales,Non-Manager,25/10/2017,Active,Full Time,3,A,"$30,000.00",3,Australia,12,7,5
1059,Vivian Frank,F,2/10/1997,23,Irish,White,IT Analyst,IT,Non-Manager,2/10/2017,Active,Full Time,3,A,"$30,000.00",3,UK,2,2,0
1065,Glenda Jennings,F,22/4/1998,23,French,White,Sales Assistant,Sales,Non-Manager,22/4/2018,Active,Full Time,3,B,"$40,000.00",3,UK,8,8,0
1092,Bethany Underwood,F,5/7/1997,23,South African,White,Sales Manager,Sales,Manager,5/7/2017,Active,Full Time,3,D,"$60,000.00",2,UK,11,6,5
1144,Christy Patrick,F,18/3/1998,23,Irish,Black,HR Manager,HR,Manager,18/3/2018,Active,Full Time,3,C,"$50,000.00",3,UK,11,6,5
1149,Anita Bailey,F,25/8/1997,23,American,Black,Credit Controller,Finance,Non-Manager,25/8/2017,Active,Full Time,3,C,"$50,000.00",3,Canada,4,4,0
1174,Lucy Walsh,F,28/7/1997,23,Brazilian,Hispanic/Latin,Finance Manager,Finance,Manager,28/7/2017,Active,Full Time,3,A,"$30,000.00",3,USA,1,1,0
1290,Jeannette Jordan,F,6/3/1998,23,Portugese,Black,Security Officer,IT,Non-Manager,6/3/2018,Active,Part Time,3,B,"$40,000.00",1,USA,5,5,0
1401,Mika Aranda,F,15/1/1998,23,Iranian,Persian,Marketing Manager,Marketing,Manager,15/1/2018,Active,Full Time,3,A,"$30,000.00",3,Canada,5,5,0
1447,Ambrose Sampson,M,1/7/1997,23,Pakistani,Asian,Procurement and Planning,Planning,Non-Manager,1/7/2017,Retired,Other,3,D,"$60,000.00",3,UK,9,4,5
1477,Jerrell Mcmurray,M,2/1/1998,23,Australian,Black,HR Administrator,HR,Non-Manager,2/1/2018,Active,Full Time,3,A,"$30,000.00",1,Australia,11,6,5
38,Alice Jones,F,19/3/1997,24,British,White,Sales Assistant,Sales,Non-Manager,19/3/2017,Active,Full Time,4,A,"$30,000.00",3,France,0,0,0
54,Martha Kelly,F,21/11/1996,24,Mexican,Hispanic/Latin,Recruitment Manager,HR,Manager,21/11/2016,Retired,Other,4,D,"$60,000.00",1,Australia,15,4,11
55,Samuel Simmons,M,1/6/1996,24,Japanese,Asian,Credit Controller,Finance,Non-Manager,1/6/2016,Active,Part Time,4,D,"$60,000.00",5,Australia,2,2,0
85,Heather Bell,F,11/11/1996,24,American,White,Sales Manager,Sales,Manager,11/11/2016,Terminated,Other,4,A,"$30,000.00",2,USA,0,0,0
179,Cynthia Miller,F,26/2/1997,24,Indian,Asian,Sales Assistant,Sales,Non-Manager,26/2/2017,Retired,Other,4,C,"$50,000.00",3,UK,8,8,0
220,Kevin Lee,M,12/12/1996,24,Mexican,Hispanic/Latin,Security Officer,IT,Non-Manager,12/12/2016,Active,Part Time,4,B,"$40,000.00",3,Australia,2,2,0
250,Cynthia Ward,F,26/11/1996,24,Irish,White,PA ,Admin,Non-Manager,26/11/2016,Resigned,Other,4,B,"$40,000.00",3,UK,0,0,0
286,Diana Robinson,F,16/7/1996,24,American,White,Payroll,Finance,Non-Manager,16/7/2016,Active,Part Time,4,B,"$40,000.00",3,Canada,14,4,10
392,Gloria Wilson,F,10/2/1997,24,Iranian,Persian,Finance Manager,Finance,Manager,10/2/2017,Retired,Other,4,A,"$30,000.00",3,France,6,6,0
431,Ashley Lopez,F,20/9/1996,24,Iranian,Persian,Administrator,Admin,Non-Manager,20/9/2016,Active,Part Time,4,C,"$50,000.00",1,Australia,11,6,5
445,Carl Peterson,M,11/1/1997,24,British,White,Payroll,Finance,Non-Manager,11/1/2017,Active,Part Time,4,C,"$50,000.00",1,USA,3,3,0
472,Tammy Jones,F,7/10/1996,24,Irish,White,HR Assistant,HR,Non-Manager,7/10/2016,Retired,Other,4,A,"$30,000.00",1,Canada,2,2,0
539,Ellen Bowman,F,25/4/1997,24,Cuban,Hispanic/Latin,Marketing Assistant,Marketing,Manager,25/4/2017,Active,Part Time,4,D,"$60,000.00",2,USA,6,6,0
741,Everett Rodgers,F,2/6/1996,24,Indian,Asian,Payroll,Finance,Non-Manager,2/6/2016,Active,Full Time,4,B,"$40,000.00",2,France,5,5,0
751,Jasmine Hogan,F,23/4/1997,24,Canadian,White,Marketing Manager,Marketing,Manager,23/4/2017,Active,Full Time,4,D,"$60,000.00",3,Germany,10,4,6
809,Lynn Hines,F,3/4/1997,24,South African,White,Sales Manager,Sales,Manager,3/4/2017,Retired,Other,4,C,"$50,000.00",1,USA,2,2,0
841,Gayle Frazier,M,4/7/1996,24,British,White,Payroll,Finance,Non-Manager,4/7/2016,Active,Full Time,4,D,"$60,000.00",1,France,4,4,0
921,Billy Fletcher,M,6/9/1996,24,Nigerian,Black,HR Manager,HR,Manager,6/9/2016,Retired,Other,4,A,"$30,000.00",3,Australia,9,4,5
959,Francisco Edwards,M,25/10/1996,24,Brazilian,Hispanic/Latin,Developer,IT,Non-Manager,25/10/2016,Retired,Other,4,C,"$50,000.00",3,UK,2,2,0
960,Leland Hanson,M,9/1/1997,24,Nigerian,Black,Marketing Assistant,Marketing,Manager,9/1/2017,Active,Full Time,4,C,"$50,000.00",4,France,9,4,5
1040,Natalie Rodgers,F,27/10/1996,24,American,White,Sales Clerk,Sales,Non-Manager,27/10/2016,Active,Full Time,4,D,"$60,000.00",2,UK,6,6,0
1101,Eloise Miles,F,27/9/1996,24,British,White,Marketing Assistant,Marketing,Manager,27/9/2016,Active,Full Time,4,C,"$50,000.00",4,South African,6,6,0
1106,Jennie Gardner,F,2/4/1997,24,British,White,Brand Manager,Marketing,Manager,2/4/2017,Retired,Other,4,A,"$30,000.00",3,USA,10,4,6
1181,Ernestine Williamson,M,1/8/1996,24,Portugese,Black,HR Manager,HR,Manager,1/8/2016,Active,Full Time,4,C,"$50,000.00",2,France,11,6,5
1195,Doreen Carroll,F,16/7/1996,24,Cuban,Hispanic/Latin,Sales Clerk,Sales,Non-Manager,16/7/2016,Active,Full Time,4,C,"$50,000.00",2,France,3,3,0
1233,Marianne Hogan,F,20/10/1996,24,Brazilian,Hispanic/Latin,Payroll,Finance,Non-Manager,20/10/2016,Active,Part Time,4,B,"$40,000.00",3,France,8,8,0
1258,Marsha Campbell,F,30/12/1996,24,Canadian,Black,Sales Manager,Sales,Manager,30/12/2016,Active,Part Time,4,C,"$50,000.00",2,South African,9,4,5
1261,Margaret Frank,F,11/8/1996,24,Chinese,Asian,Administrator,Admin,Non-Manager,11/8/2016,Active,Part Time,4,D,"$60,000.00",1,South African,9,4,5
1264,Ebony Collins,F,12/2/1997,24,Nigerian,Black,Procurement and Planning,Planning,Non-Manager,12/2/2017,Active,Part Time,4,A,"$30,000.00",4,France,7,7,0
1357,Marlyn Blount,F,7/8/1996,24,Irish,Black,Finance Manager,Finance,Manager,7/8/2016,Active,Full Time,4,C,"$50,000.00",3,Germany,1,1,0
1388,Nedra Moseley,M,28/12/1996,24,Portugese,Black,HR Manager,HR,Manager,28/12/2016,Retired,Other,4,D,"$60,000.00",3,France,7,7,0
1428,Summer Lachance,F,23/12/1996,24,Indian,Asian,Sales Manager,Sales,Manager,23/12/2016,Active,Full Time,4,C,"$50,000.00",4,Germany,5,5,0
1539,Rubie Brackett,F,28/1/1997,24,German,Black,HR Assistant,HR,Non-Manager,28/1/2017,Active,Full Time,4,D,"$60,000.00",1,Australia,5,5,0
12,Judy Morris,F,15/2/1996,25,Canadian,White,Sales Manager,Sales,Manager,15/2/2016,Terminated,Other,5,A,"$30,000.00",2,Germany,20,5,15
